,Final Value,Total Return,CAGR,Max Drawdown,Sharpe Ratio,Sortino Ratio
AI Strategy,10542.539716983223,5.425397169832236,1.0038052617814985,-15.0794078603521,0.17598895229362624,0.08423082170691715
QQQ,22444.927525969564,124.44927525969564,16.513952665214603,-35.118718982588234,0.7808878438886191,1.0926063139425726
