Threshold,MSE_Threshold,Trades,Win_Rate,Avg_Return,Win_Rate_Delta,Avg_Return_Delta
Keep P50% (MSE≤0.242),0.24195698648691177,689,0.625544267053701,0.005525600741568804,-0.0065121845592022165,-0.0011931807951825728
Keep P60% (MSE≤0.264),0.2637607157230377,759,0.616600790513834,0.006080149028189396,-0.015455661099069262,-0.0006386325085619808
Keep P70% (MSE≤0.288),0.2879175990819931,821,0.6187576126674786,0.006781368125838809,-0.013298838945424607,6.258658908743237e-05
Keep P80% (MSE≤0.318),0.31768056750297546,902,0.6219512195121951,0.006127634247099013,-0.010105232100708128,-0.0005911472896523639
Keep P90% (MSE≤0.364),0.36439041793346405,958,0.6294363256784968,0.006607404571424416,-0.0026201259344064143,-0.00011137696532696056
Keep P95% (MSE≤0.400),0.40016474574804306,980,0.6336734693877552,0.006802287980877472,0.0016170177748519032,8.350644412609496e-05
No Filter,0.5970845818519592,992,0.6320564516129032,0.006718781536751377,0.0,0.0
