Cluster_ID,Count,Avg_Return,Win_Rate
10,4465,0.00683804655867849,0.5487122060470325
11,4240,0.006158118852210478,0.5466981132075471
19,7346,0.005857747430075666,0.5518649605227335
6,6109,0.005594229570158423,0.5521361925028646
17,5290,0.005376792186497158,0.5531190926275993
0,4214,0.005065077781944028,0.5479354532510678
14,5139,0.0050621338959658,0.5637283518194202
1,6328,0.004615986994861571,0.5459860935524652
4,4816,0.004284356856577453,0.5510797342192691
7,6615,0.004197356591955547,0.5576719576719577
8,8376,0.004113265038717944,0.5635148042024832
3,4574,0.003894381026799332,0.5439440314822912
9,4522,0.003401242327259884,0.5433436532507739
16,4614,0.002811608205961465,0.5455136540962289
5,7050,0.0026730766787207596,0.535177304964539
12,5941,0.002153146595434443,0.5357683891600741
13,6811,0.002063114823289806,0.5344295991778006
18,4747,0.0019856476509908004,0.5437118179903097
2,3718,0.0003569058788924262,0.5379236148466918
15,6092,-0.00019245488230149025,0.5326657912015759
