Bucket,Count,Median_Distance,Win_Rate,Avg_Return
Top 25% Closest,59,1.2653108835220337,0.559322033898305,0.0004374058909014342
25-50% Closest,58,1.4170964360237122,0.5344827586206896,-0.0020447085985098963
50-75% Closest,58,1.5924989581108093,0.5344827586206896,0.004534689736206724
75-100% Closest,59,1.7464693784713745,0.5932203389830508,0.005609722500880426
