Cluster_ID,Count,Avg_Return,Win_Rate
5,339,0.008060613056234532,0.584070796460177
8,271,0.006971608774257253,0.6605166051660517
19,386,0.005501052219872989,0.655440414507772
11,193,0.005307430248404759,0.5958549222797928
14,245,0.0050238868110132305,0.5959183673469388
15,410,0.0037877492140668185,0.6439024390243903
12,405,0.0035236591055248677,0.5925925925925926
16,486,0.0033564404829377692,0.5720164609053497
3,456,0.0032303271143016886,0.6030701754385965
18,300,0.003167740424735716,0.53
1,249,0.0021389326394542093,0.5863453815261044
7,290,0.0018822757166944088,0.5379310344827586
9,354,0.001165481892486318,0.5706214689265536
2,397,0.0009336427437078319,0.5289672544080605
13,332,0.0009051902778924729,0.5572289156626506
10,248,0.0007116397185378462,0.5766129032258065
6,487,0.0006602579518391542,0.5462012320328542
4,297,-0.0009829288124369165,0.5151515151515151
17,225,-0.0021343972860319305,0.5422222222222223
0,286,-0.003089702631411807,0.506993006993007
